HTL state,Time GPS,Mission time,heater-anemoemeter,heater-HTL
HTL state,Time GPS,Mission time,heater-HTL,Time GPS,Mission time,heater-anemometer
A1,Thu 1970-01-01 01:00:00 CET,0,0.000000,Thu 1970-01-01 01:00:00 CET,0,0.000000
A1,Thu 1970-01-01 01:00:00 CET,0.0385785,0.000000,Thu 1970-01-01 01:00:00 CET,0.038584,1.200000
A1,Thu 1970-01-01 01:00:00 CET,1.03612,0.000000,Thu 1970-01-01 01:00:00 CET,1.03613,1.200000
A1,Thu 1970-01-01 01:00:00 CET,2.03773,0.000000,Thu 1970-01-01 01:00:00 CET,2.03773,1.200000
A1,Thu 1970-01-01 01:00:00 CET,3.03765,0.000000,Thu 1970-01-01 01:00:00 CET,3.03765,1.200000
A1,Thu 1970-01-01 01:00:00 CET,4.03819,0.000000,Thu 1970-01-01 01:00:00 CET,4.03819,1.200000
A1,Thu 1970-01-01 01:00:00 CET,5.03734,0.000000,Thu 1970-01-01 01:00:00 CET,5.03735,1.200000
A1,Thu 1970-01-01 01:00:00 CET,6.03798,0.000000,Thu 1970-01-01 01:00:00 CET,6.03798,1.200000
A1,Thu 1970-01-01 01:00:00 CET,7.03766,0.000000,Thu 1970-01-01 01:00:00 CET,7.03772,1.200000
A1,Thu 1970-01-01 01:00:00 CET,8.03698,0.000000,Thu 1970-01-01 01:00:00 CET,8.03698,1.200000
A1,Thu 1970-01-01 01:00:00 CET,9.03805,0.000000,Thu 1970-01-01 01:00:00 CET,9.03805,1.200000
A1,Thu 1970-01-01 01:00:00 CET,10.0387,0.000000,Thu 1970-01-01 01:00:00 CET,10.0388,1.200000
A1,Thu 1970-01-01 01:00:00 CET,11.0366,0.000000,Thu 1970-01-01 01:00:00 CET,11.0366,1.200000
A1,Thu 1970-01-01 01:00:00 CET,12.0367,0.000000,Thu 1970-01-01 01:00:00 CET,12.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,13.0353,0.000000,Thu 1970-01-01 01:00:00 CET,13.0353,1.200000
A1,Thu 1970-01-01 01:00:00 CET,14.0354,0.000000,Thu 1970-01-01 01:00:00 CET,14.0354,1.200000
A1,Thu 1970-01-01 01:00:00 CET,15.0356,0.000000,Thu 1970-01-01 01:00:00 CET,15.0356,1.200000
A1,Thu 1970-01-01 01:00:00 CET,16.0369,0.000000,Thu 1970-01-01 01:00:00 CET,16.0369,1.200000
A1,Thu 1970-01-01 01:00:00 CET,17.0371,0.000000,Thu 1970-01-01 01:00:00 CET,17.0371,1.200000
A1,Thu 1970-01-01 01:00:00 CET,18.0372,0.000000,Thu 1970-01-01 01:00:00 CET,18.0373,1.200000
A1,Thu 1970-01-01 01:00:00 CET,19.0387,0.000000,Thu 1970-01-01 01:00:00 CET,19.0387,1.200000
A1,Thu 1970-01-01 01:00:00 CET,20.0369,0.000000,Thu 1970-01-01 01:00:00 CET,20.0369,1.200000
A1,Thu 1970-01-01 01:00:00 CET,21.0367,0.000000,Thu 1970-01-01 01:00:00 CET,21.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,22.0372,0.000000,Thu 1970-01-01 01:00:00 CET,22.0372,1.200000
A1,Thu 1970-01-01 01:00:00 CET,23.0368,0.000000,Thu 1970-01-01 01:00:00 CET,23.0368,1.200000
A1,Thu 1970-01-01 01:00:00 CET,24.037,0.000000,Thu 1970-01-01 01:00:00 CET,24.037,1.200000
A1,Thu 1970-01-01 01:00:00 CET,25.0366,0.000000,Thu 1970-01-01 01:00:00 CET,25.0366,1.200000
A1,Thu 1970-01-01 01:00:00 CET,26.0375,0.000000,Thu 1970-01-01 01:00:00 CET,26.0375,1.200000
A1,Thu 1970-01-01 01:00:00 CET,27.0364,0.000000,Thu 1970-01-01 01:00:00 CET,27.0364,1.200000
A1,Thu 1970-01-01 01:00:00 CET,28.0379,0.000000,Thu 1970-01-01 01:00:00 CET,28.0379,1.200000
A1,Thu 1970-01-01 01:00:00 CET,29.0369,0.000000,Thu 1970-01-01 01:00:00 CET,29.0369,1.200000
A1,Thu 1970-01-01 01:00:00 CET,30.037,0.000000,Thu 1970-01-01 01:00:00 CET,30.037,1.200000
A1,Thu 1970-01-01 01:00:00 CET,31.0373,0.000000,Thu 1970-01-01 01:00:00 CET,31.0373,1.200000
A1,Thu 1970-01-01 01:00:00 CET,32.0367,0.000000,Thu 1970-01-01 01:00:00 CET,32.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,33.037,0.000000,Thu 1970-01-01 01:00:00 CET,33.037,1.200000
A1,Thu 1970-01-01 01:00:00 CET,34.0371,0.000000,Thu 1970-01-01 01:00:00 CET,34.0371,1.200000
A1,Thu 1970-01-01 01:00:00 CET,35.0368,0.000000,Thu 1970-01-01 01:00:00 CET,35.0369,1.200000
A1,Thu 1970-01-01 01:00:00 CET,36.0368,0.000000,Thu 1970-01-01 01:00:00 CET,36.0368,1.200000
A1,Thu 1970-01-01 01:00:00 CET,37.0381,0.000000,Thu 1970-01-01 01:00:00 CET,37.0381,1.200000
A1,Thu 1970-01-01 01:00:00 CET,38.0359,0.000000,Thu 1970-01-01 01:00:00 CET,38.0359,1.200000
A1,Thu 1970-01-01 01:00:00 CET,39.0367,0.000000,Thu 1970-01-01 01:00:00 CET,39.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,40.0362,0.000000,Thu 1970-01-01 01:00:00 CET,40.0362,1.200000
A1,Thu 1970-01-01 01:00:00 CET,41.0368,0.000000,Thu 1970-01-01 01:00:00 CET,41.0368,1.200000
A1,Thu 1970-01-01 01:00:00 CET,42.0368,0.000000,Thu 1970-01-01 01:00:00 CET,42.0368,1.200000
A1,Thu 1970-01-01 01:00:00 CET,43.0365,0.000000,Thu 1970-01-01 01:00:00 CET,43.0365,1.200000
A1,Thu 1970-01-01 01:00:00 CET,44.0366,0.000000,Thu 1970-01-01 01:00:00 CET,44.0366,1.200000
A1,Thu 1970-01-01 01:00:00 CET,45.0367,0.000000,Thu 1970-01-01 01:00:00 CET,45.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,46.0378,0.000000,Thu 1970-01-01 01:00:00 CET,46.0378,1.200000
A1,Thu 1970-01-01 01:00:00 CET,47.0368,0.000000,Thu 1970-01-01 01:00:00 CET,47.0368,1.200000
A1,Thu 1970-01-01 01:00:00 CET,48.0367,0.000000,Thu 1970-01-01 01:00:00 CET,48.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,49.0369,0.000000,Thu 1970-01-01 01:00:00 CET,49.0369,1.200000
A1,Thu 1970-01-01 01:00:00 CET,50.0369,0.000000,Thu 1970-01-01 01:00:00 CET,50.037,1.200000
A1,Thu 1970-01-01 01:00:00 CET,51.0363,0.000000,Thu 1970-01-01 01:00:00 CET,51.0363,1.200000
A1,Thu 1970-01-01 01:00:00 CET,52.0347,0.000000,Thu 1970-01-01 01:00:00 CET,52.0347,1.200000
A1,Thu 1970-01-01 01:00:00 CET,53.0365,0.000000,Thu 1970-01-01 01:00:00 CET,53.0365,1.200000
A1,Thu 1970-01-01 01:00:00 CET,54.0367,0.000000,Thu 1970-01-01 01:00:00 CET,54.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,55.038,0.000000,Thu 1970-01-01 01:00:00 CET,55.038,1.200000
A1,Thu 1970-01-01 01:00:00 CET,56.0371,0.000000,Thu 1970-01-01 01:00:00 CET,56.0371,1.200000
A1,Thu 1970-01-01 01:00:00 CET,57.0374,0.000000,Thu 1970-01-01 01:00:00 CET,57.0374,1.200000
A1,Thu 1970-01-01 01:00:00 CET,58.0369,0.000000,Thu 1970-01-01 01:00:00 CET,58.0369,1.200000
A1,Thu 1970-01-01 01:00:00 CET,59.0382,0.000000,Thu 1970-01-01 01:00:00 CET,59.0382,1.200000
A1,Thu 1970-01-01 01:00:00 CET,60.0374,0.000000,Thu 1970-01-01 01:00:00 CET,60.0374,1.200000
A1,Thu 1970-01-01 01:00:00 CET,61.0374,0.000000,Thu 1970-01-01 01:00:00 CET,61.0375,1.200000
A1,Thu 1970-01-01 01:00:00 CET,62.0373,0.000000,Thu 1970-01-01 01:00:00 CET,62.0373,1.200000
A1,Thu 1970-01-01 01:00:00 CET,63.0366,0.000000,Thu 1970-01-01 01:00:00 CET,63.0366,1.200000
A1,Thu 1970-01-01 01:00:00 CET,64.037,0.000000,Thu 1970-01-01 01:00:00 CET,64.037,1.200000
A1,Thu 1970-01-01 01:00:00 CET,65.0359,0.000000,Thu 1970-01-01 01:00:00 CET,65.036,1.200000
A1,Thu 1970-01-01 01:00:00 CET,66.0369,0.000000,Thu 1970-01-01 01:00:00 CET,66.0369,1.200000
A1,Thu 1970-01-01 01:00:00 CET,67.0366,0.000000,Thu 1970-01-01 01:00:00 CET,67.0366,1.200000
A1,Thu 1970-01-01 01:00:00 CET,68.0369,0.000000,Thu 1970-01-01 01:00:00 CET,68.0369,1.200000
A1,Thu 1970-01-01 01:00:00 CET,69.0366,0.000000,Thu 1970-01-01 01:00:00 CET,69.0366,1.200000
A1,Thu 1970-01-01 01:00:00 CET,70.0368,0.000000,Thu 1970-01-01 01:00:00 CET,70.0368,1.200000
A1,Thu 1970-01-01 01:00:00 CET,71.0367,0.000000,Thu 1970-01-01 01:00:00 CET,71.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,72.0367,0.000000,Thu 1970-01-01 01:00:00 CET,72.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,73.038,0.000000,Thu 1970-01-01 01:00:00 CET,73.038,1.200000
A1,Thu 1970-01-01 01:00:00 CET,74.0366,0.000000,Thu 1970-01-01 01:00:00 CET,74.0366,1.200000
A1,Thu 1970-01-01 01:00:00 CET,75.0372,0.000000,Thu 1970-01-01 01:00:00 CET,75.0372,1.200000
A1,Thu 1970-01-01 01:00:00 CET,76.0358,0.000000,Thu 1970-01-01 01:00:00 CET,76.0358,1.200000
A1,Thu 1970-01-01 01:00:00 CET,77.0363,0.000000,Thu 1970-01-01 01:00:00 CET,77.0363,1.200000
A1,Thu 1970-01-01 01:00:00 CET,78.0362,0.000000,Thu 1970-01-01 01:00:00 CET,78.0362,1.200000
A1,Thu 1970-01-01 01:00:00 CET,79.0368,0.000000,Thu 1970-01-01 01:00:00 CET,79.0368,1.200000
A1,Thu 1970-01-01 01:00:00 CET,80.0367,0.000000,Thu 1970-01-01 01:00:00 CET,80.0368,1.200000
A1,Thu 1970-01-01 01:00:00 CET,81.0367,0.000000,Thu 1970-01-01 01:00:00 CET,81.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,82.0381,0.000000,Thu 1970-01-01 01:00:00 CET,82.0381,1.200000
A1,Thu 1970-01-01 01:00:00 CET,83.0367,0.000000,Thu 1970-01-01 01:00:00 CET,83.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,84.0367,0.000000,Thu 1970-01-01 01:00:00 CET,84.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,85.0367,0.000000,Thu 1970-01-01 01:00:00 CET,85.0367,1.200000
A1,Thu 1970-01-01 01:00:00 CET,86.0358,0.000000,Thu 1970-01-01 01:00:00 CET,86.0358,1.200000
A1,Thu 1970-01-01 01:00:00 CET,87.036,0.000000,Thu 1970-01-01 01:00:00 CET,87.036,1.200000
A1,Thu 1970-01-01 01:00:00 CET,88.0371,0.000000,Thu 1970-01-01 01:00:00 CET,88.0372,1.200000
A1,Thu 1970-01-01 01:00:00 CET,89.0364,0.000000,Thu 1970-01-01 01:00:00 CET,89.0364,1.200000
A1,Thu 1970-01-01 01:00:00 CET,90.0366,0.000000,Thu 1970-01-01 01:00:00 CET,90.0366,1.200000
A1,Thu 1970-01-01 01:00:00 CET,91.0379,0.000000,Thu 1970-01-01 01:00:00 CET,91.0379,1.200000
A1,Thu 1970-01-01 01:00:00 CET,92.0371,0.000000,Thu 1970-01-01 01:00:00 CET,92.0371,1.200000
A1,Thu 1970-01-01 01:00:00 CET,93.0369,0.000000,Thu 1970-01-01 01:00:00 CET,93.0369,1.200000
A1,Thu 1970-01-01 01:00:00 CET,94.0365,0.000000,Thu 1970-01-01 01:00:00 CET,94.0366,1.200000
A1,Thu 1970-01-01 01:00:00 CET,95.0358,0.000000,Thu 1970-01-01 01:00:00 CET,95.0358,1.200000
A1,Thu 1970-01-01 01:00:00 CET,96.0358,0.000000,Thu 1970-01-01 01:00:00 CET,96.0358,1.200000
A1,Thu 1970-01-01 01:00:00 CET,97.0359,0.000000,Thu 1970-01-01 01:00:00 CET,97.0359,1.200000
A1,Thu 1970-01-01 01:00:00 CET,98.036,0.000000,Thu 1970-01-01 01:00:00 CET,98.036,1.200000
A1,Thu 1970-01-01 01:00:00 CET,99.036,0.000000,Thu 1970-01-01 01:00:00 CET,99.036,1.200000
A1,Thu 1970-01-01 01:00:00 CET,100.037,0.000000,Thu 1970-01-01 01:00:00 CET,100.037,1.200000
A1,Thu 1970-01-01 01:00:00 CET,101.036,0.000000,Thu 1970-01-01 01:00:00 CET,101.036,1.200000
A1,Thu 1970-01-01 01:00:00 CET,102.036,0.000000,Thu 1970-01-01 01:00:00 CET,102.036,1.200000
A1,Thu 1970-01-01 01:00:00 CET,103.036,0.000000,Thu 1970-01-01 01:00:00 CET,103.036,1.200000
