HTL state,Time GPS,Mission time,anemometro Celsius,anemometro Volts,anemometro Vcc,aire abajo Celsius,aire abajo Volts,aire abajo Vcc,infinito Celsius,infinito Volts,infinito Vcc,aire arriba Celsius,aire arriba Volts,aire arriba Vcc,exterior Celsius,exterior Volts,exterior Vcc,placa arriba Celsius,placa arriba Volts,placa arriba Vcc,placa abajo Celsius,placa abajo Volts,placa abajo Vcc
A1,Thu 1970-01-01 01:00:00 CET,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A1,Thu 1970-01-01 01:00:00 CET,0.528796,253.593094,3.271900,4.867680,31.219078,2.629160,4.863400,31.438648,2.631200,4.865480,31.015469,2.631380,4.869080,30.796942,2.628500,4.865440,28.356655,2.618100,4.865160,28.345119,2.619020,4.866960
A1,Thu 1970-01-01 01:00:00 CET,1.531146,254.409775,3.272900,4.866760,31.140144,2.630020,4.865600,31.422731,2.630420,4.864160,31.391605,2.631480,4.866360,31.084610,2.629680,4.865400,28.177547,2.618140,4.866640,27.873459,2.612940,4.859360
A1,Thu 1970-01-01 01:00:00 CET,2.553384,256.054260,3.271840,4.860360,31.017715,2.626720,4.860440,31.793001,2.630620,4.861680,31.147594,2.628040,4.861880,30.789309,2.626480,4.861760,28.705667,2.617720,4.861720,28.779160,2.617620,4.860960
A1,Thu 1970-01-01 01:00:00 CET,3.568969,256.862885,3.272460,4.858920,31.167143,2.627300,4.860360,31.568697,2.629600,4.861520,31.161293,2.627600,4.860960,30.840191,2.627060,4.862440,29.039858,2.619040,4.861560,29.566299,2.621640,4.862280
A1,Thu 1970-01-01 01:00:00 CET,4.554361,253.511261,3.272060,4.868160,31.017130,2.631560,4.869400,31.396193,2.633900,4.870800,31.174471,2.631720,4.868480,30.863678,2.630940,4.869440,29.261808,2.624220,4.869440,29.746372,2.626020,4.869000
A1,Thu 1970-01-01 01:00:00 CET,5.560185,253.620728,3.272600,4.868640,31.081068,2.631200,4.868240,31.841221,2.634760,4.868960,31.111700,2.632820,4.871000,30.866663,2.631320,4.870120,29.715046,2.626320,4.869800,30.290560,2.628260,4.868920
A1,Thu 1970-01-01 01:00:00 CET,6.554488,253.576965,3.272540,4.868680,30.902370,2.631880,4.870880,31.688005,2.634100,4.868920,31.037201,2.632660,4.871280,31.406845,2.632560,4.868240,29.764404,2.626700,4.870120,30.693701,2.629300,4.867720
A1,Thu 1970-01-01 01:00:00 CET,7.560189,253.331100,3.272240,4.868960,30.933769,2.631860,4.870600,31.415249,2.633720,4.870320,31.506567,2.633560,4.869320,30.695486,2.630820,4.870520,29.819981,2.627300,4.870800,30.714756,2.629820,4.868520
A1,Thu 1970-01-01 01:00:00 CET,8.559431,253.083252,3.272500,4.870080,31.511738,2.632500,4.867320,31.495975,2.634100,4.870400,31.320919,2.632980,4.869680,30.888365,2.631800,4.870840,29.909714,2.627720,4.870880,30.871435,2.631340,4.870120
A1,Thu 1970-01-01 01:00:00 CET,9.560858,257.433563,3.271720,4.856160,31.459091,2.627240,4.858000,31.660110,2.627860,4.857600,30.995613,2.626520,4.860240,30.541771,2.624560,4.860120,30.191673,2.623420,4.860720,31.411709,2.626740,4.857440
A1,Thu 1970-01-01 01:00:00 CET,10.555550,255.649918,3.271340,4.860800,31.208735,2.628360,4.862000,31.542158,2.629100,4.860800,31.323257,2.628340,4.861080,30.973232,2.626340,4.860080,30.613703,2.625120,4.860600,31.417650,2.627760,4.859280
A1,Thu 1970-01-01 01:00:00 CET,11.547030,256.074219,3.271960,4.860480,31.212120,2.627920,4.861160,31.350349,2.628280,4.860760,31.219263,2.627020,4.859440,30.984715,2.626820,4.860880,30.821106,2.626440,4.861440,31.604691,2.629620,4.861280
A1,Thu 1970-01-01 01:00:00 CET,12.526679,254.596451,3.272920,4.866240,31.234779,2.629420,4.863760,31.891380,2.631700,4.862920,31.183952,2.630700,4.866520,31.013620,2.630140,4.866800,31.335941,2.629020,4.862240,31.966604,2.633680,4.866000
A1,Thu 1970-01-01 01:00:00 CET,13.525299,254.438889,3.272420,4.865960,31.456104,2.630040,4.863200,31.551056,2.630760,4.863800,31.780315,2.632840,4.865880,30.761850,2.628980,4.866600,31.582491,2.630220,4.862560,32.266415,2.634840,4.865840
A1,Thu 1970-01-01 01:00:00 CET,14.527908,254.157532,3.272320,4.866640,31.130848,2.629700,4.865080,31.460169,2.631160,4.865240,31.414356,2.631380,4.866000,30.868479,2.629080,4.865960,31.399548,2.630280,4.864080,32.611553,2.637920,4.868880
A1,Thu 1970-01-01 01:00:00 CET,15.559067,253.844452,3.272560,4.867920,30.941095,2.631480,4.869840,31.961555,2.634460,4.867480,31.253527,2.632980,4.870200,30.687668,2.631500,4.871840,31.674274,2.633740,4.868360,32.566528,2.638080,4.869520
A1,Thu 1970-01-01 01:00:00 CET,16.553557,254.088608,3.272560,4.867200,31.251680,2.632280,4.868920,31.383570,2.633220,4.869640,31.268427,2.632480,4.869160,31.050501,2.631440,4.868920,31.709621,2.634320,4.869160,32.858536,2.638880,4.868760
A1,Thu 1970-01-01 01:00:00 CET,17.560368,256.483765,3.272200,4.859640,30.560146,2.625220,4.861200,31.317347,2.628380,4.861200,31.213598,2.628640,4.862480,30.945406,2.626440,4.860480,31.819759,2.630580,4.861400,32.959995,2.636200,4.863040
A1,Thu 1970-01-01 01:00:00 CET,18.561064,255.279709,3.270960,4.861320,30.795403,2.626700,4.862120,31.778160,2.629000,4.858800,31.142239,2.627780,4.861440,30.761143,2.626600,4.862200,32.260654,2.632780,4.862080,33.373222,2.637020,4.861400
A1,Thu 1970-01-01 01:00:00 CET,19.562116,256.222656,3.273060,4.861680,31.137035,2.627780,4.861480,31.617313,2.632940,4.867320,31.381630,2.633320,4.869840,31.061613,2.632200,4.870240,32.176399,2.635960,4.868600,33.586403,2.642220,4.869360
A1,Thu 1970-01-01 01:00:00 CET,20.560102,252.725739,3.272380,4.870960,31.349457,2.632840,4.869200,31.417528,2.633340,4.869600,31.330339,2.632760,4.869200,30.637157,2.631440,4.872120,32.362404,2.637080,4.869240,33.642227,2.642820,4.870040
