HTL state,Time GPS,Mission time,anemometro Celsius,anemometro Volts,anemometro Vcc,aire abajo Celsius,aire abajo Volts,aire abajo Vcc,infinito Celsius,infinito Volts,infinito Vcc,aire arriba Celsius,aire arriba Volts,aire arriba Vcc,exterior Celsius,exterior Volts,exterior Vcc,placa arriba Celsius,placa arriba Volts,placa arriba Vcc,placa abajo Celsius,placa abajo Volts,placa abajo Vcc
A1,Thu 1970-01-01 01:00:00 CET,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A1,Thu 1970-01-01 01:00:00 CET,0.905903,17.870541,2.577260,4.873440,20.484884,2.588120,4.872280,21.563011,2.592560,4.871800,21.124775,2.590420,4.871360,20.959774,2.589340,4.870680,17.461605,2.575200,4.872960,18.037783,2.572560,4.863160
A1,Fri 2021-07-16 06:33:12 CEST,2.039399,17.828255,2.569480,4.859080,20.617764,2.579880,4.855680,21.751129,2.584860,4.855800,21.459255,2.583660,4.855920,20.988777,2.580620,4.854040,17.539698,2.568040,4.858760,18.081297,2.570720,4.859320
A1,Fri 2021-07-16 06:33:12 CEST,2.039399,17.828255,2.569480,4.859080,20.617764,2.579880,4.855680,21.751129,2.584860,4.855800,21.459255,2.583660,4.855920,20.988777,2.580620,4.854040,17.539698,2.568040,4.858760,18.081297,2.570720,4.859320
A1,Fri 2021-07-16 06:33:12 CEST,3.497347,17.785112,2.566900,4.854560,20.678188,2.585180,4.865160,21.601015,2.588340,4.863560,20.893204,2.586520,4.865920,20.702065,2.585220,4.865040,17.803940,2.572440,4.864880,17.781801,2.572300,4.864800
A1,Fri 2021-07-16 06:33:12 CEST,4.757260,17.671019,2.570860,4.863000,20.760651,2.584880,4.863920,21.603899,2.589140,4.865040,20.880037,2.586420,4.865840,20.532112,2.584820,4.865680,17.814180,2.571660,4.863320,18.143917,2.571080,4.859480
A1,Fri 2021-07-16 06:33:12 CEST,6.009884,17.784163,2.575060,4.870000,20.545584,2.589660,4.874680,21.632971,2.593460,4.872920,21.169987,2.591340,4.872720,20.783485,2.589380,4.872200,17.876581,2.573860,4.866960,17.932020,2.574760,4.868200
A1,Fri 2021-07-16 06:33:12 CEST,6.009884,17.784163,2.575060,4.870000,20.545584,2.589660,4.874680,21.632971,2.593460,4.872920,21.169987,2.591340,4.872720,20.783485,2.589380,4.872200,17.876581,2.573860,4.866960,17.932020,2.574760,4.868200
A1,Fri 2021-07-16 06:33:14 CEST,7.267754,17.693708,2.576860,4.874160,20.691845,2.587960,4.870280,21.908066,2.592120,4.868160,21.016001,2.589500,4.870520,21.001022,2.589860,4.871320,17.736788,2.576860,4.873800,17.998716,2.577720,4.873240
A1,Fri 2021-07-16 06:33:14 CEST,8.521218,17.671968,2.575580,4.871920,20.910944,2.589000,4.870440,21.722824,2.593020,4.871360,21.211178,2.591200,4.872120,20.535826,2.589320,4.874120,17.938246,2.577580,4.873480,17.944256,2.577120,4.872560
