HTL state,Time GPS,Mission time,TC74-0,TC74-1,TC74-2,TC74-3,TC74-4
A1,Thu 1970-01-01 01:00:00 CET,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A1,Thu 1970-01-01 01:00:00 CET,0.065912,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:12 CEST,1.309940,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:12 CEST,1.309940,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:12 CEST,2.561996,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:12 CEST,3.812724,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:12 CEST,5.064714,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:12 CEST,5.064714,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:13 CEST,6.312184,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:14 CEST,7.562183,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:14 CEST,8.812174,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:15 CEST,10.067103,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:15 CEST,10.067103,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:16 CEST,11.312147,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:16 CEST,12.561671,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:17 CEST,13.810267,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:18 CEST,15.064005,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:18 CEST,15.064005,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:18 CEST,16.312151,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:19 CEST,17.562168,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:19 CEST,18.812161,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:20 CEST,20.064708,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:20 CEST,20.064708,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:21 CEST,21.312142,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:21 CEST,22.562141,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:22 CEST,23.812669,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:23 CEST,25.064133,17.500000,17.500000,16.500000,16.500000,16.500000
