HTL state,Mission time,Time GPS,err time,lat,err lat,long,err long,alt,err alt,course,err course,speed,err speed,climb,err climb
A1,0,Thu 1970-01-01 01:00:00 CET,0,0,0,0,0,0,0,0,0,0,0,0,0
A1,0.0547256,Thu 1970-01-01 01:00:00 CET,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A1,1.05462,Fri 2021-07-16 07:28:11 CEST,0.005,42.5896,11.157,-5.65005,8.905,919.8,30.59,0,nan,0.003,22.31,nan,nan
A1,2.05457,Fri 2021-07-16 07:28:11 CEST,0.005,42.5896,11.157,-5.65005,8.905,919.8,30.59,0,nan,0.003,22.31,0,nan
A1,3.05439,Fri 2021-07-16 07:28:12 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.6,30.59,0,nan,0.011,22.31,nan,nan
A1,4.05451,Fri 2021-07-16 07:28:12 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.6,30.59,0,nan,0.011,22.31,0,nan
A1,5.05444,Fri 2021-07-16 07:28:13 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.6,30.59,0,nan,0.02,22.31,nan,nan
A1,6.05437,Fri 2021-07-16 07:28:13 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.6,30.59,0,nan,0.02,22.31,0,nan
A1,7.05435,Fri 2021-07-16 07:28:14 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.5,30.59,0,nan,0.009,22.31,nan,nan
A1,8.05481,Fri 2021-07-16 07:28:14 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.5,30.59,0,nan,0.009,22.31,0,nan
A1,9.05431,Fri 2021-07-16 07:28:15 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.3,30.59,0,nan,0.004,22.31,nan,nan
A1,10.0569,Fri 2021-07-16 07:28:15 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.3,30.59,0,nan,0.004,22.31,0,nan
A1,11.0544,Fri 2021-07-16 07:28:16 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.2,30.59,0,nan,0.012,22.31,nan,nan
A1,12.0545,Fri 2021-07-16 07:28:16 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.2,30.59,0,nan,0.012,22.31,0,nan
A1,13.0544,Fri 2021-07-16 07:28:17 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.1,30.59,0,nan,0.022,22.31,nan,nan
A1,14.0544,Fri 2021-07-16 07:28:17 CEST,0.005,42.5896,11.157,-5.65006,8.905,919.1,30.59,0,nan,0.022,22.31,0,nan
A1,15.0545,Fri 2021-07-16 07:28:18 CEST,0.005,42.5896,11.157,-5.65006,8.905,918.9,30.59,0,nan,0.033,22.31,nan,nan
A1,16.0545,Fri 2021-07-16 07:28:18 CEST,0.005,42.5896,11.157,-5.65006,8.905,918.9,30.59,0,nan,0.033,22.31,0,nan
A1,17.054,Fri 2021-07-16 07:28:19 CEST,0.005,42.5896,11.157,-5.65006,8.905,918.8,30.59,0,nan,0.018,22.31,nan,nan
HTL state,Mission time,Time GPS,err time,lat,err lat,long,err long,alt,err alt,course,err course,speed,err speed,climb,err climb
A1,0,Thu 1970-01-01 01:00:00 CET,0,0,0,0,0,0,0,0,0,0,0,0,0
A1,25.6641,Thu 1970-01-01 01:00:00 CET,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A1,26.2617,Fri 2021-07-16 07:28:57 CEST,0.005,42.5896,11.196,-5.65009,8.94,916.2,30.59,0,nan,0.023,1.07,nan,nan
A1,27.1086,Fri 2021-07-16 07:28:57 CEST,0.005,42.5896,11.196,-5.65009,8.94,916.2,30.59,0,nan,0.023,1.07,0,nan
A1,28.1079,Fri 2021-07-16 07:28:58 CEST,0.005,42.5896,11.196,-5.65009,8.94,916.1,30.59,0,nan,0.009,22.39,nan,nan
