HTL state;Time GPS;Mission time;heater-HTL;Time GPS;Mission time;heater-anemometer
A1;Thu 1970-01-01 01:00:00 CET;0;0;Thu 1970-01-01 01:00:00 CET;0;0
A1;Thu 1970-01-01 01:00:00 CET;25.1137;0;Thu 1970-01-01 01:00:00 CET;25.1137;0
A1;Thu 1970-01-01 01:00:00 CET;26.114;1.322314;Thu 1970-01-01 01:00:00 CET;26.114;0.8
A1;Fri 2021-07-16 07:28:57 CEST;27.114;1.322314;Fri 2021-07-16 07:28:57 CEST;27.114;0.8
A1;Fri 2021-07-16 07:28:58 CEST;28.1141;1.322314;Fri 2021-07-16 07:28:58 CEST;28.1141;0.8
A1;Fri 2021-07-16 07:28:58 CEST;29.1135;1.322314;Fri 2021-07-16 07:28:58 CEST;29.1135;0.8
A1;Fri 2021-07-16 07:28:59 CEST;30.1142;1.322314;Fri 2021-07-16 07:28:59 CEST;30.1142;0.8
A1;Fri 2021-07-16 07:28:59 CEST;31.114;1.322314;Fri 2021-07-16 07:28:59 CEST;31.114;0.8
A1;Fri 2021-07-16 07:29:00 CEST;32.1141;1.322314;Fri 2021-07-16 07:29:00 CEST;32.1141;0.8
A1;Fri 2021-07-16 07:29:00 CEST;33.1143;1.322314;Fri 2021-07-16 07:29:00 CEST;33.1143;0.8
A1;Fri 2021-07-16 07:29:01 CEST;34.1142;1.322314;Fri 2021-07-16 07:29:01 CEST;34.1142;0.8
A1;Fri 2021-07-16 07:29:01 CEST;35.1157;1.322314;Fri 2021-07-16 07:29:01 CEST;35.1157;0.8
A1;Fri 2021-07-16 07:29:02 CEST;36.114;1.322314;Fri 2021-07-16 07:29:02 CEST;36.114;0.8
A1;Fri 2021-07-16 07:29:02 CEST;37.1134;1.322314;Fri 2021-07-16 07:29:02 CEST;37.1134;0.8
A1;Fri 2021-07-16 07:29:03 CEST;38.1141;1.322314;Fri 2021-07-16 07:29:03 CEST;38.1141;0.8
A1;Fri 2021-07-16 07:29:03 CEST;39.1143;1.322314;Fri 2021-07-16 07:29:03 CEST;39.1143;0.8
A1;Fri 2021-07-16 07:29:04 CEST;40.1142;1.322314;Fri 2021-07-16 07:29:04 CEST;40.1142;0.8
A1;Fri 2021-07-16 07:29:04 CEST;41.1139;1.322314;Fri 2021-07-16 07:29:04 CEST;41.1139;0.8
A1;Fri 2021-07-16 07:29:05 CEST;42.1141;1.322314;Fri 2021-07-16 07:29:05 CEST;42.1141;0.8
A1;Fri 2021-07-16 07:29:05 CEST;43.1143;1.322314;Fri 2021-07-16 07:29:05 CEST;43.1143;0.8
A1;Fri 2021-07-16 07:29:06 CEST;44.116;1.322314;Fri 2021-07-16 07:29:06 CEST;44.116;0.8
A1;Fri 2021-07-16 07:29:06 CEST;45.1148;1.322314;Fri 2021-07-16 07:29:06 CEST;45.1148;0.8
A1;Fri 2021-07-16 07:29:07 CEST;46.1141;1.322314;Fri 2021-07-16 07:29:07 CEST;46.1141;0.8
A1;Fri 2021-07-16 07:29:07 CEST;47.1142;1.322314;Fri 2021-07-16 07:29:07 CEST;47.1142;0.8
A1;Fri 2021-07-16 07:29:08 CEST;48.114;1.322314;Fri 2021-07-16 07:29:08 CEST;48.114;0.8
A1;Fri 2021-07-16 07:29:08 CEST;49.1194;1.322314;Fri 2021-07-16 07:29:08 CEST;49.1194;0.8
A1;Fri 2021-07-16 07:29:09 CEST;50.1134;1.322314;Fri 2021-07-16 07:29:09 CEST;50.1134;0.8
A1;Fri 2021-07-16 07:29:09 CEST;51.1142;1.322314;Fri 2021-07-16 07:29:09 CEST;51.1142;0.8
A1;Fri 2021-07-16 07:29:10 CEST;52.114;1.322314;Fri 2021-07-16 07:29:10 CEST;52.114;0.8
A1;Fri 2021-07-16 07:29:10 CEST;53.1162;1.322314;Fri 2021-07-16 07:29:10 CEST;53.1162;0.8
A1;Fri 2021-07-16 07:29:11 CEST;54.1141;1.322314;Fri 2021-07-16 07:29:11 CEST;54.1141;0.8
A1;Fri 2021-07-16 07:29:11 CEST;55.1143;1.322314;Fri 2021-07-16 07:29:11 CEST;55.1143;0.8
A1;Fri 2021-07-16 07:29:12 CEST;56.1141;1.322314;Fri 2021-07-16 07:29:12 CEST;56.1141;0.8
A1;Fri 2021-07-16 07:29:12 CEST;57.1143;1.322314;Fri 2021-07-16 07:29:12 CEST;57.1143;0.8
A1;Fri 2021-07-16 07:29:13 CEST;58.1141;1.322314;Fri 2021-07-16 07:29:13 CEST;58.1141;0.8
A1;Fri 2021-07-16 07:29:13 CEST;59.1142;1.322314;Fri 2021-07-16 07:29:13 CEST;59.1142;0.8
A1;Fri 2021-07-16 07:29:14 CEST;60.1142;1.322314;Fri 2021-07-16 07:29:14 CEST;60.1142;0.8
A1;Fri 2021-07-16 07:29:14 CEST;61.1142;1.322314;Fri 2021-07-16 07:29:14 CEST;61.1142;0.8
A1;Fri 2021-07-16 07:29:15 CEST;62.1155;1.322314;Fri 2021-07-16 07:29:15 CEST;62.1155;0.8
A1;Fri 2021-07-16 07:29:15 CEST;63.1142;1.322314;Fri 2021-07-16 07:29:15 CEST;63.1143;0.8
A1;Fri 2021-07-16 07:29:16 CEST;64.1141;1.322314;Fri 2021-07-16 07:29:16 CEST;64.1141;0.8
A1;Fri 2021-07-16 07:29:16 CEST;65.1144;1.322314;Fri 2021-07-16 07:29:16 CEST;65.1144;0.8
A1;Fri 2021-07-16 07:29:17 CEST;66.114;1.322314;Fri 2021-07-16 07:29:17 CEST;66.114;0.8
A1;Fri 2021-07-16 07:29:17 CEST;67.1141;1.322314;Fri 2021-07-16 07:29:17 CEST;67.1141;0.8
A1;Fri 2021-07-16 07:29:18 CEST;68.1141;1.322314;Fri 2021-07-16 07:29:18 CEST;68.1141;0.8
A1;Fri 2021-07-16 07:29:18 CEST;69.1142;1.322314;Fri 2021-07-16 07:29:18 CEST;69.1142;0.8
A1;Fri 2021-07-16 07:29:19 CEST;70.1142;1.322314;Fri 2021-07-16 07:29:19 CEST;70.1142;0.8
A1;Fri 2021-07-16 07:29:19 CEST;71.116;1.322314;Fri 2021-07-16 07:29:19 CEST;71.116;0.8
A1;Fri 2021-07-16 07:29:20 CEST;72.114;1.322314;Fri 2021-07-16 07:29:20 CEST;72.114;0.8
