HTL state,Time GPS,Mission time,PS1 pressure mbar,PS1 temp Celsius,PS1 d1,PS1 d2,PS2 pressure mbar,PS2 temp Celsius,PS2 d1,PS2 d2
A1,Thu 1970-01-01 01:00:00 CET,0,0,0,0,0,0,0,0,0
A1,Thu 1970-01-01 01:00:00 CET,25.1137,8044912,8884464,918.48,30.9,8370160,9008240,918.43,33
A1,Thu 1970-01-01 01:00:00 CET,26.114,8045296,8884592,918.59,30.91,8370288,9008240,918.46,33
A1,Fri 2021-07-16 07:28:57 CEST,27.114,8045040,8884720,918.53,30.91,8370288,9008240,918.46,33
A1,Fri 2021-07-16 07:28:58 CEST,28.1141,8045040,8884720,918.53,30.91,8370160,9008112,918.43,32.99
A1,Fri 2021-07-16 07:28:58 CEST,29.1135,8045168,8884720,918.57,30.91,8370544,9008112,918.52,32.99
A1,Fri 2021-07-16 07:28:59 CEST,30.1142,8044784,8884848,918.48,30.91,8370288,9008112,918.46,32.99
A1,Fri 2021-07-16 07:28:59 CEST,31.114,8044528,8884848,918.42,30.91,8370416,9008112,918.49,32.99
A1,Fri 2021-07-16 07:29:00 CEST,32.1141,8044784,8884848,918.48,30.91,8370416,9007856,918.47,32.99
A1,Fri 2021-07-16 07:29:00 CEST,33.1143,8044784,8885104,918.5,30.92,8370032,9007984,918.39,32.99
A1,Fri 2021-07-16 07:29:01 CEST,34.1142,8044912,8884848,918.51,30.91,8370288,9007856,918.44,32.99
A1,Fri 2021-07-16 07:29:01 CEST,35.1157,8044656,8884848,918.45,30.91,8370672,9007856,918.53,32.99
A1,Fri 2021-07-16 07:29:02 CEST,36.114,8044912,8884976,918.52,30.92,8370416,9008112,918.49,32.99
A1,Fri 2021-07-16 07:29:02 CEST,37.1134,8044784,8884976,918.49,30.92,8370416,9007856,918.47,32.99
A1,Fri 2021-07-16 07:29:03 CEST,38.114,8044784,8885104,918.5,30.92,8370416,9007856,918.47,32.99
A1,Fri 2021-07-16 07:29:03 CEST,39.1142,8045040,8885104,918.56,30.92,8370544,9007856,918.5,32.99
A1,Fri 2021-07-16 07:29:04 CEST,40.1142,8044912,8885232,918.54,30.93,8370160,9007728,918.4,32.98
A1,Fri 2021-07-16 07:29:04 CEST,41.1139,8044528,8885232,918.45,30.93,8370544,9007856,918.5,32.99
A1,Fri 2021-07-16 07:29:05 CEST,42.1141,8044528,8885232,918.45,30.93,8370544,9007728,918.49,32.98
A1,Fri 2021-07-16 07:29:05 CEST,43.1143,8044656,8885104,918.47,30.92,8370416,9007856,918.47,32.99
A1,Fri 2021-07-16 07:29:06 CEST,44.116,8044784,8885232,918.51,30.93,8370672,9007728,918.52,32.98
A1,Fri 2021-07-16 07:29:06 CEST,45.1148,8044784,8885360,918.52,30.93,8370544,9007728,918.49,32.98
A1,Fri 2021-07-16 07:29:07 CEST,46.1141,8044528,8885488,918.47,30.94,8370160,9007728,918.4,32.98
A1,Fri 2021-07-16 07:29:07 CEST,47.1142,8044912,8885488,918.56,30.94,8370544,9007728,918.49,32.98
A1,Fri 2021-07-16 07:29:08 CEST,48.114,8044528,8885616,918.47,30.94,8370416,9007728,918.46,32.98
A1,Fri 2021-07-16 07:29:08 CEST,49.1194,8044656,8885488,918.5,30.94,8370416,9007600,918.45,32.98
A1,Fri 2021-07-16 07:29:09 CEST,50.1134,8044528,8885744,918.48,30.94,8370416,9007472,918.44,32.97
A1,Fri 2021-07-16 07:29:09 CEST,51.1142,8044144,8885744,918.39,30.94,8370160,9007472,918.38,32.97
A1,Fri 2021-07-16 07:29:10 CEST,52.114,8044528,8885744,918.48,30.94,8370544,9007472,918.47,32.97
A1,Fri 2021-07-16 07:29:10 CEST,53.1162,8044400,8885616,918.44,30.94,8370800,9007472,918.53,32.97
A1,Fri 2021-07-16 07:29:11 CEST,54.1141,8044528,8885744,918.48,30.94,8370416,9007344,918.43,32.97
A1,Fri 2021-07-16 07:29:11 CEST,55.1143,8044784,8885744,918.55,30.94,8370032,9007472,918.35,32.97
A1,Fri 2021-07-16 07:29:12 CEST,56.1141,8044656,8885872,918.52,30.95,8370672,9007344,918.49,32.97
A1,Fri 2021-07-16 07:29:12 CEST,57.1143,8044784,8886128,918.57,30.96,8370544,9007344,918.46,32.97
A1,Fri 2021-07-16 07:29:13 CEST,58.1141,8044528,8886128,918.51,30.96,8370800,9007344,918.52,32.97
A1,Fri 2021-07-16 07:29:13 CEST,59.1142,8044528,8886000,918.5,30.95,8370544,9007344,918.46,32.97
