HTL state,Time GPS,Mission time,TC74-0,TC74-1,TC74-2,TC74-3,TC74-4
A1,Fri 2021-07-16 07:28:57 CEST,26.364534,15.500000,14.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:28:57 CEST,27.614512,15.500000,14.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:28:58 CEST,28.864513,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:28:59 CEST,30.116231,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:28:59 CEST,30.116231,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:28:59 CEST,31.364549,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:00 CEST,32.614556,15.500000,14.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:00 CEST,33.864550,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:01 CEST,35.117332,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:01 CEST,35.117332,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:02 CEST,36.364529,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:02 CEST,37.613583,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:03 CEST,38.863595,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:04 CEST,40.116072,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:04 CEST,40.116072,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:04 CEST,41.364567,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:05 CEST,42.614580,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:05 CEST,43.864440,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:06 CEST,45.116353,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:06 CEST,45.116353,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:07 CEST,46.364520,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:07 CEST,47.614484,15.500000,14.500000,16.500000,14.500000,13.500000
A1,Fri 2021-07-16 07:29:08 CEST,48.864512,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:09 CEST,50.113455,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:09 CEST,50.113455,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:09 CEST,51.363586,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:10 CEST,52.614537,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:10 CEST,53.864515,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:11 CEST,55.116189,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:11 CEST,55.116189,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:12 CEST,56.364479,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:12 CEST,57.614517,15.500000,15.500000,16.500000,13.500000,13.500000
A1,Fri 2021-07-16 07:29:13 CEST,58.864514,15.500000,15.500000,16.500000,14.500000,13.500000
A1,Fri 2021-07-16 07:29:14 CEST,60.116112,15.500000,15.500000,16.500000,14.500000,13.500000
A1,Fri 2021-07-16 07:29:14 CEST,60.116112,15.500000,15.500000,16.500000,14.500000,13.500000
A1,Fri 2021-07-16 07:29:14 CEST,61.364545,15.500000,15.500000,16.500000,14.500000,13.500000
A1,Fri 2021-07-16 07:29:15 CEST,62.614015,15.500000,15.500000,16.500000,14.500000,13.500000
A1,Fri 2021-07-16 07:29:15 CEST,63.863594,15.500000,15.500000,16.500000,14.500000,13.500000
A1,Fri 2021-07-16 07:29:16 CEST,65.116270,15.500000,15.500000,16.500000,14.500000,13.500000
A1,Fri 2021-07-16 07:29:16 CEST,65.116270,15.500000,15.500000,16.500000,14.500000,13.500000
