HTL state,Time GPS,Mission time,heater-anemoemeter,heater-HTL
HTL state,Time GPS,Mission time,heater-HTL,Time GPS,Mission time,heater-anemometer
A1,Thu 1970-01-01 01:00:00 CET,0,0.000000,Thu 1970-01-01 01:00:00 CET,0,0.000000
A1,Thu 1970-01-01 01:00:00 CET,0.0641664,0.000000,Thu 1970-01-01 01:00:00 CET,0.0641717,0.000000
A1,Fri 2021-07-16 06:33:12 CEST,1.06179,1.322314,Fri 2021-07-16 06:33:12 CEST,1.06179,0.000000
A1,Fri 2021-07-16 06:33:12 CEST,2.06142,1.322314,Fri 2021-07-16 06:33:12 CEST,2.06142,0.000000
A1,Fri 2021-07-16 06:33:12 CEST,3.06246,1.322314,Fri 2021-07-16 06:33:12 CEST,3.06246,0.000000
A1,Fri 2021-07-16 06:33:12 CEST,4.06232,1.322314,Fri 2021-07-16 06:33:12 CEST,4.06233,0.000000
A1,Fri 2021-07-16 06:33:12 CEST,5.06267,1.322314,Fri 2021-07-16 06:33:12 CEST,5.06268,0.000000
A1,Fri 2021-07-16 06:33:13 CEST,6.06282,1.322314,Fri 2021-07-16 06:33:13 CEST,6.06282,0.000000
A1,Fri 2021-07-16 06:33:14 CEST,7.06272,1.322314,Fri 2021-07-16 06:33:14 CEST,7.06272,0.000000
A1,Fri 2021-07-16 06:33:14 CEST,8.06264,1.322314,Fri 2021-07-16 06:33:14 CEST,8.06265,0.000000
A1,Fri 2021-07-16 06:33:15 CEST,9.06246,1.322314,Fri 2021-07-16 06:33:15 CEST,9.06246,0.000000
A1,Fri 2021-07-16 06:33:15 CEST,10.0652,1.322314,Fri 2021-07-16 06:33:15 CEST,10.0652,0.000000
A1,Fri 2021-07-16 06:33:16 CEST,11.0626,1.322314,Fri 2021-07-16 06:33:16 CEST,11.0626,0.000000
A1,Fri 2021-07-16 06:33:16 CEST,12.0627,1.322314,Fri 2021-07-16 06:33:16 CEST,12.0627,0.000000
A1,Fri 2021-07-16 06:33:17 CEST,13.0622,1.322314,Fri 2021-07-16 06:33:17 CEST,13.0622,0.000000
A1,Fri 2021-07-16 06:33:17 CEST,14.0621,1.322314,Fri 2021-07-16 06:33:17 CEST,14.0621,0.000000
A1,Fri 2021-07-16 06:33:18 CEST,15.0625,1.322314,Fri 2021-07-16 06:33:18 CEST,15.0625,0.000000
A1,Fri 2021-07-16 06:33:18 CEST,16.0627,1.322314,Fri 2021-07-16 06:33:18 CEST,16.0627,0.000000
A1,Fri 2021-07-16 06:33:19 CEST,17.0625,1.322314,Fri 2021-07-16 06:33:19 CEST,17.0625,0.000000
A1,Fri 2021-07-16 06:33:19 CEST,18.0627,1.322314,Fri 2021-07-16 06:33:19 CEST,18.0627,0.000000
A1,Fri 2021-07-16 06:33:20 CEST,19.0645,1.322314,Fri 2021-07-16 06:33:20 CEST,19.0645,0.000000
A1,Fri 2021-07-16 06:33:20 CEST,20.0627,1.322314,Fri 2021-07-16 06:33:20 CEST,20.0627,0.000000
A1,Fri 2021-07-16 06:33:21 CEST,21.0628,1.322314,Fri 2021-07-16 06:33:21 CEST,21.0629,0.000000
A1,Fri 2021-07-16 06:33:21 CEST,22.0627,1.322314,Fri 2021-07-16 06:33:21 CEST,22.0627,0.000000
A1,Fri 2021-07-16 06:33:22 CEST,23.062,1.322314,Fri 2021-07-16 06:33:22 CEST,23.062,0.000000
A1,Fri 2021-07-16 06:33:22 CEST,24.0685,1.322314,Fri 2021-07-16 06:33:22 CEST,24.0685,0.000000
A1,Fri 2021-07-16 06:33:23 CEST,25.0623,1.322314,Fri 2021-07-16 06:33:23 CEST,25.0623,0.000000
A1,Fri 2021-07-16 06:33:23 CEST,26.0615,1.322314,Fri 2021-07-16 06:33:23 CEST,26.0615,0.000000
A1,Fri 2021-07-16 06:33:24 CEST,27.0618,1.322314,Fri 2021-07-16 06:33:24 CEST,27.0618,0.000000
A1,Fri 2021-07-16 06:33:24 CEST,28.0639,1.322314,Fri 2021-07-16 06:33:24 CEST,28.0639,0.000000
A1,Fri 2021-07-16 06:33:25 CEST,29.0624,1.322314,Fri 2021-07-16 06:33:25 CEST,29.0624,0.000000
A1,Fri 2021-07-16 06:33:25 CEST,30.0627,1.322314,Fri 2021-07-16 06:33:25 CEST,30.0627,0.000000
A1,Fri 2021-07-16 06:33:26 CEST,31.0624,1.322314,Fri 2021-07-16 06:33:26 CEST,31.0624,0.000000
A1,Fri 2021-07-16 06:33:26 CEST,32.0626,1.322314,Fri 2021-07-16 06:33:26 CEST,32.0626,0.000000
A1,Fri 2021-07-16 06:33:27 CEST,33.0625,1.322314,Fri 2021-07-16 06:33:27 CEST,33.0625,0.000000
A1,Fri 2021-07-16 06:33:27 CEST,34.0626,1.322314,Fri 2021-07-16 06:33:27 CEST,34.0626,0.000000
A1,Fri 2021-07-16 06:33:28 CEST,35.0626,1.322314,Fri 2021-07-16 06:33:28 CEST,35.0626,0.000000
A1,Fri 2021-07-16 06:33:28 CEST,36.0629,1.322314,Fri 2021-07-16 06:33:28 CEST,36.0629,0.000000
A1,Fri 2021-07-16 06:33:29 CEST,37.0645,1.322314,Fri 2021-07-16 06:33:29 CEST,37.0645,0.000000
A1,Fri 2021-07-16 06:33:29 CEST,38.0627,1.322314,Fri 2021-07-16 06:33:29 CEST,38.0627,0.000000
A1,Fri 2021-07-16 06:33:30 CEST,39.0622,1.322314,Fri 2021-07-16 06:33:30 CEST,39.0623,0.000000
A1,Fri 2021-07-16 06:33:30 CEST,40.0617,1.322314,Fri 2021-07-16 06:33:30 CEST,40.0617,0.000000
A1,Fri 2021-07-16 06:33:31 CEST,41.0622,1.322314,Fri 2021-07-16 06:33:31 CEST,41.0622,0.000000
A1,Fri 2021-07-16 06:33:31 CEST,42.0628,1.322314,Fri 2021-07-16 06:33:31 CEST,42.0628,0.000000
A1,Fri 2021-07-16 06:33:32 CEST,43.0627,1.322314,Fri 2021-07-16 06:33:32 CEST,43.0627,0.000000
A1,Fri 2021-07-16 06:33:32 CEST,44.0625,1.322314,Fri 2021-07-16 06:33:32 CEST,44.0625,0.000000
A1,Fri 2021-07-16 06:33:33 CEST,45.0627,1.322314,Fri 2021-07-16 06:33:33 CEST,45.0628,0.000000
A1,Fri 2021-07-16 06:33:33 CEST,46.065,1.322314,Fri 2021-07-16 06:33:33 CEST,46.065,0.000000
A1,Fri 2021-07-16 06:33:34 CEST,47.0627,1.322314,Fri 2021-07-16 06:33:34 CEST,47.0627,0.000000
A1,Fri 2021-07-16 06:33:34 CEST,48.0628,1.322314,Fri 2021-07-16 06:33:34 CEST,48.0628,0.000000
A1,Fri 2021-07-16 06:33:35 CEST,49.0627,1.322314,Fri 2021-07-16 06:33:35 CEST,49.0627,0.000000
A1,Fri 2021-07-16 06:33:35 CEST,50.0629,1.322314,Fri 2021-07-16 06:33:35 CEST,50.0629,0.000000
A1,Fri 2021-07-16 06:33:36 CEST,51.0629,1.322314,Fri 2021-07-16 06:33:36 CEST,51.0629,0.000000
A1,Fri 2021-07-16 06:33:36 CEST,52.0625,1.322314,Fri 2021-07-16 06:33:36 CEST,52.0625,0.000000
A1,Fri 2021-07-16 06:33:37 CEST,53.0622,1.322314,Fri 2021-07-16 06:33:37 CEST,53.0622,0.000000
A1,Fri 2021-07-16 06:33:37 CEST,54.0628,1.322314,Fri 2021-07-16 06:33:37 CEST,54.0628,0.000000
A1,Fri 2021-07-16 06:33:38 CEST,55.0646,1.322314,Fri 2021-07-16 06:33:38 CEST,55.0646,0.000000
A1,Fri 2021-07-16 06:33:38 CEST,56.0627,1.322314,Fri 2021-07-16 06:33:38 CEST,56.0627,0.000000
A1,Fri 2021-07-16 06:33:39 CEST,57.0627,1.322314,Fri 2021-07-16 06:33:39 CEST,57.0627,0.000000
A1,Fri 2021-07-16 06:33:39 CEST,58.0628,1.322314,Fri 2021-07-16 06:33:39 CEST,58.0628,0.000000
A1,Fri 2021-07-16 06:33:40 CEST,59.0627,1.322314,Fri 2021-07-16 06:33:40 CEST,59.0627,0.000000
A1,Fri 2021-07-16 06:33:40 CEST,60.0628,1.322314,Fri 2021-07-16 06:33:40 CEST,60.0628,0.000000
A1,Fri 2021-07-16 06:33:41 CEST,61.0626,1.322314,Fri 2021-07-16 06:33:41 CEST,61.0626,0.000000
A1,Fri 2021-07-16 06:33:41 CEST,62.0627,1.322314,Fri 2021-07-16 06:33:41 CEST,62.0627,0.000000
A1,Fri 2021-07-16 06:33:42 CEST,63.0628,1.322314,Fri 2021-07-16 06:33:42 CEST,63.0628,0.000000
A1,Fri 2021-07-16 06:33:42 CEST,64.0647,1.322314,Fri 2021-07-16 06:33:42 CEST,64.0647,0.000000
A1,Fri 2021-07-16 06:33:43 CEST,65.0625,1.322314,Fri 2021-07-16 06:33:43 CEST,65.0625,0.000000
A1,Fri 2021-07-16 06:33:43 CEST,66.0628,1.322314,Fri 2021-07-16 06:33:43 CEST,66.0628,0.000000
A1,Fri 2021-07-16 06:33:44 CEST,67.0626,1.322314,Fri 2021-07-16 06:33:44 CEST,67.0626,0.000000
A1,Fri 2021-07-16 06:33:44 CEST,68.0628,1.322314,Fri 2021-07-16 06:33:44 CEST,68.0628,0.000000
A1,Fri 2021-07-16 06:33:45 CEST,69.0626,1.322314,Fri 2021-07-16 06:33:45 CEST,69.0626,0.000000
A1,Fri 2021-07-16 06:33:45 CEST,70.0628,1.322314,Fri 2021-07-16 06:33:45 CEST,70.0628,0.000000
A1,Fri 2021-07-16 06:33:46 CEST,71.0627,1.322314,Fri 2021-07-16 06:33:46 CEST,71.0627,0.000000
A1,Fri 2021-07-16 06:33:46 CEST,72.0628,1.322314,Fri 2021-07-16 06:33:46 CEST,72.0628,0.000000
A1,Fri 2021-07-16 06:33:47 CEST,73.0646,1.322314,Fri 2021-07-16 06:33:47 CEST,73.0646,0.000000
A1,Fri 2021-07-16 06:33:47 CEST,74.0628,1.322314,Fri 2021-07-16 06:33:47 CEST,74.0628,0.000000
A1,Fri 2021-07-16 06:33:48 CEST,75.0628,1.322314,Fri 2021-07-16 06:33:48 CEST,75.0628,0.000000
