HTL state,Time GPS,Mission time,PS1 pressure mbar,PS1 temp Celsius,PS1 d1,PS1 d2,PS2 pressure mbar,PS2 temp Celsius,PS2 d1,PS2 d2
A1,Thu 1970-01-01 01:00:00 CET,0,0,0,0,0,0,0,0,0
A1,Thu 1970-01-01 01:00:00 CET,0.0641563,8135536,8588400,918.49,21.34,8471792,8675184,918.47,22.38
A1,Fri 2021-07-16 06:33:12 CEST,1.06178,8135536,8588784,918.52,21.35,8471280,8675824,918.4,22.4
A1,Fri 2021-07-16 06:33:12 CEST,2.06141,8135152,8589296,918.46,21.37,8471408,8676336,918.46,22.42
A1,Fri 2021-07-16 06:33:12 CEST,3.06245,8135024,8589808,918.47,21.38,8471408,8676848,918.5,22.43
A1,Fri 2021-07-16 06:33:12 CEST,4.06231,8134896,8590320,918.48,21.4,8470896,8677616,918.44,22.46
A1,Fri 2021-07-16 06:33:12 CEST,5.06266,8134896,8590704,918.51,21.41,8470896,8678000,918.46,22.47
A1,Fri 2021-07-16 06:33:13 CEST,6.06281,8134512,8591344,918.46,21.43,8470640,8678384,918.43,22.48
A1,Fri 2021-07-16 06:33:14 CEST,7.06271,8134512,8591600,918.48,21.44,8470512,8679152,918.46,22.51
A1,Fri 2021-07-16 06:33:14 CEST,8.06263,8134384,8592112,918.49,21.46,8470384,8679792,918.48,22.53
A1,Fri 2021-07-16 06:33:15 CEST,9.06245,8134384,8592624,918.53,21.47,8470256,8680176,918.47,22.54
A1,Fri 2021-07-16 06:33:15 CEST,10.0652,8134128,8593264,918.51,21.5,8469872,8680688,918.42,22.56
A1,Fri 2021-07-16 06:33:16 CEST,11.0626,8133872,8593648,918.48,21.51,8469616,8681200,918.4,22.57
A1,Fri 2021-07-16 06:33:16 CEST,12.0627,8133744,8594032,918.48,21.52,8469360,8681968,918.39,22.6
A1,Fri 2021-07-16 06:33:17 CEST,13.0622,8133616,8594672,918.5,21.54,8469232,8682352,918.39,22.61
A1,Fri 2021-07-16 06:33:17 CEST,14.0621,8133488,8595184,918.5,21.56,8469488,8682992,918.5,22.63
A1,Fri 2021-07-16 06:33:18 CEST,15.0625,8133232,8595440,918.46,21.57,8468720,8683632,918.37,22.65
A1,Fri 2021-07-16 06:33:18 CEST,16.0627,8133232,8596208,918.52,21.59,8468464,8684016,918.33,22.66
A1,Fri 2021-07-16 06:33:19 CEST,17.0625,8133104,8596592,918.52,21.6,8468464,8684784,918.39,22.69
A1,Fri 2021-07-16 06:33:19 CEST,18.0627,8132720,8597104,918.46,21.62,8468592,8685296,918.46,22.7
A1,Fri 2021-07-16 06:33:20 CEST,19.0645,8132464,8597616,918.44,21.64,8468208,8685936,918.41,22.72
