HTL state,Time GPS,Mission time,anemometro Celsius,anemometro Volts,anemometro Vcc,aire abajo Celsius,aire abajo Volts,aire abajo Vcc,infinito Celsius,infinito Volts,infinito Vcc,aire arriba Celsius,aire arriba Volts,aire arriba Vcc,exterior Celsius,exterior Volts,exterior Vcc,placa arriba Celsius,placa arriba Volts,placa arriba Vcc,placa abajo Celsius,placa abajo Volts,placa abajo Vcc
A1,Thu 1970-01-01 01:00:00 CET,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A1,Thu 1970-01-01 01:00:00 CET,0.984771,19.767889,2.578980,4.860960,19.377745,2.577720,4.861800,19.558592,2.578320,4.861440,21.020267,2.585180,4.862360,18.390879,2.573880,4.862720,40.369686,2.665820,4.861920,41.662334,2.669860,4.859840
A1,Thu 1970-01-01 01:00:00 CET,0.984771,19.767889,2.578980,4.860960,19.377745,2.577720,4.861800,19.558592,2.578320,4.861440,21.020267,2.585180,4.862360,18.390879,2.573880,4.862720,40.369686,2.665820,4.861920,41.662334,2.669860,4.859840
A1,Fri 2021-07-16 07:28:11 CEST,2.269177,19.855852,2.577560,4.857560,19.767366,2.576240,4.855800,19.522604,2.575320,4.856080,21.148010,2.581800,4.854960,18.772076,2.571380,4.854840,40.102116,2.661280,4.855600,41.094189,2.665720,4.856440
A1,Fri 2021-07-16 07:28:12 CEST,3.533270,19.728556,2.581100,4.865280,19.809246,2.581580,4.865520,19.621759,2.580760,4.865520,21.169098,2.585380,4.861520,18.643686,2.577320,4.867120,40.437756,2.666620,4.862880,40.912052,2.669600,4.864840
A1,Fri 2021-07-16 07:28:12 CEST,4.772877,19.843702,2.581200,4.864520,19.560831,2.580960,4.866400,19.487417,2.579960,4.865120,21.124683,2.587080,4.865080,18.434090,2.576420,4.867160,39.952629,2.666400,4.866040,40.771080,2.668200,4.863320
A1,Fri 2021-07-16 07:28:13 CEST,6.009765,19.771755,2.581140,4.865000,19.507603,2.580600,4.866160,19.797956,2.581000,4.864520,20.928223,2.585120,4.863000,18.612188,2.573920,4.860960,39.628677,2.662180,4.860720,41.367241,2.668460,4.859440
A1,Fri 2021-07-16 07:28:13 CEST,6.009765,19.771755,2.581140,4.865000,19.507603,2.580600,4.866160,19.797956,2.581000,4.864520,20.928223,2.585120,4.863000,18.612188,2.573920,4.860960,39.628677,2.662180,4.860720,41.367241,2.668460,4.859440
A1,Fri 2021-07-16 07:28:14 CEST,7.221110,19.682997,2.578800,4.861320,19.949585,2.579200,4.859880,19.393450,2.577640,4.861520,21.291445,2.584720,4.859280,18.736130,2.573680,4.859480,40.061405,2.663440,4.859840,41.018974,2.668580,4.862200
A1,Fri 2021-07-16 07:28:14 CEST,8.481051,19.754482,2.573340,4.850440,19.484686,2.572800,4.851640,18.995865,2.571300,4.852840,20.877090,2.579540,4.852920,18.335829,2.567160,4.850480,39.806019,2.660900,4.857080,41.015514,2.665800,4.857160
A1,Fri 2021-07-16 07:28:15 CEST,9.754469,19.559359,2.575820,4.856720,19.629889,2.575640,4.855800,19.566200,2.574980,4.855080,21.154272,2.582380,4.856000,18.206108,2.569660,4.856280,40.076836,2.663020,4.858960,40.833229,2.664060,4.855320
A1,Fri 2021-07-16 07:28:15 CEST,11.029731,19.798386,2.581320,4.865120,19.788046,2.580320,4.863320,19.677628,2.580580,4.864720,20.909132,2.586100,4.865000,18.484419,2.575540,4.865080,40.159962,2.665700,4.863240,40.870125,2.669300,4.864600
A1,Fri 2021-07-16 07:28:15 CEST,11.029731,19.798386,2.581320,4.865120,19.788046,2.580320,4.863320,19.677628,2.580580,4.864720,20.909132,2.586100,4.865000,18.484419,2.575540,4.865080,40.159962,2.665700,4.863240,40.870125,2.669300,4.864600
A1,Fri 2021-07-16 07:28:16 CEST,12.288967,20.074097,2.582100,4.864320,19.683764,2.580140,4.863840,19.654955,2.579420,4.862720,21.067993,2.586600,4.864640,18.543549,2.575440,4.864400,40.334126,2.666620,4.863640,41.280811,2.670420,4.863640
A1,Fri 2021-07-16 07:28:17 CEST,13.509961,19.682137,2.581300,4.866040,19.897150,2.581200,4.864080,19.442780,2.580380,4.866280,20.816048,2.585100,4.863880,18.691994,2.575880,4.864000,40.133663,2.666800,4.865440,41.038364,2.670480,4.865520
A1,Fri 2021-07-16 07:28:17 CEST,14.756733,19.901628,2.580880,4.863440,19.641518,2.581080,4.865960,19.671614,2.581360,4.866240,20.955200,2.587300,4.866880,18.769653,2.576560,4.864640,40.004330,2.666060,4.865040,41.171844,2.669720,4.863160
A1,Fri 2021-07-16 07:28:18 CEST,16.019127,20.554575,2.577480,4.851680,19.928814,2.576180,4.854360,20.180294,2.576320,4.852560,21.470798,2.582220,4.853120,18.947369,2.569880,4.850560,39.852688,2.660540,4.856080,41.153099,2.665780,4.856120
A1,Fri 2021-07-16 07:28:18 CEST,16.019127,20.554575,2.577480,4.851680,19.928814,2.576180,4.854360,20.180294,2.576320,4.852560,21.470798,2.582220,4.853120,18.947369,2.569880,4.850560,39.852688,2.660540,4.856080,41.153099,2.665780,4.856120
A1,Fri 2021-07-16 07:28:19 CEST,17.130852,19.787985,2.577200,4.857440,19.772644,2.576560,4.856360,19.271542,2.568540,4.845360,21.147673,2.573460,4.839280,18.627953,2.569160,4.851840,39.920284,2.658160,4.851240,40.716465,2.662100,4.852600
HTL state,Time GPS,Mission time,anemometro Celsius,anemometro Volts,anemometro Vcc,aire abajo Celsius,aire abajo Volts,aire abajo Vcc,infinito Celsius,infinito Volts,infinito Vcc,aire arriba Celsius,aire arriba Volts,aire arriba Vcc,exterior Celsius,exterior Volts,exterior Vcc,placa arriba Celsius,placa arriba Volts,placa arriba Vcc,placa abajo Celsius,placa abajo Volts,placa abajo Vcc
A1,Thu 1970-01-01 01:00:00 CET,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A1,Thu 1970-01-01 01:00:00 CET,25.820565,20.097294,2.573920,4.848720,19.589516,2.567720,4.841200,19.729078,2.572720,4.849480,21.416281,2.579260,4.848000,18.786613,2.566380,4.845280,40.139065,2.658600,4.850440,41.112160,2.666780,4.858240
A1,Thu 1970-01-01 01:00:00 CET,25.820565,20.097294,2.573920,4.848720,19.589516,2.567720,4.841200,19.729078,2.572720,4.849480,21.416281,2.579260,4.848000,18.786613,2.566380,4.845280,40.139065,2.658600,4.850440,41.112160,2.666780,4.858240
