Calibration data of PS1:;;;;;;;;;;;
c1;c2;c3;c4;c5;c6;sens t1;off t1;tcs;tco;tref;temp sens
0;0;0;0;0;0;0;0;0;0;0;0
Calibration data of PS2:;;;;;;;;;;;
c1;c2;c3;c4;c5;c6;sens t1;off t1;tcs;tco;tref;temp sens
Primero;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;0
Time GPS;Mission time;PS1 pressure mbar;PS1 temp Celsius;PS1 d1;PS1 d2;PS2 pressure mbar;PS2 temp Celsius;PS2 d1;PS2 d2;;
Thu 1970-01-01 01:00:00 CET;0.0385153;8109680;8969072;940.49;33.64;8452464;9042416;940.55;34.09;;
Thu 1970-01-01 01:00:00 CET;1.0361;8109552;8969584;940.49;33.65;8452336;9042800;940.55;34.1;;
Thu 1970-01-01 01:00:00 CET;2.03763;8109808;8969840;940.58;33.66;8452080;9043312;940.52;34.12;;
Thu 1970-01-01 01:00:00 CET;3.03762;8109680;8970096;940.56;33.67;8452080;9043824;940.56;34.13;;
Thu 1970-01-01 01:00:00 CET;4.03816;8109296;8970480;940.5;33.68;8452080;9044080;940.58;34.14;;
Thu 1970-01-01 01:00:00 CET;5.03731;8109296;8970736;940.52;33.69;8451952;9044720;940.6;34.16;;
Thu 1970-01-01 01:00:00 CET;6.03795;8109680;8970864;940.62;33.69;8451440;9045104;940.5;34.17;;
Thu 1970-01-01 01:00:00 CET;7.03754;8109168;8971376;940.53;33.71;8451440;9045616;940.54;34.19;;
Thu 1970-01-01 01:00:00 CET;8.0369;8109296;8971504;940.57;33.71;8451184;9046000;940.5;34.2;;
Thu 1970-01-01 01:00:00 CET;9.03797;8109040;8971888;940.54;33.73;8451312;9046384;940.56;34.22;;
Thu 1970-01-01 01:00:00 CET;10.0387;8108912;8972016;940.52;33.73;8451312;9046768;940.59;34.23;;
Thu 1970-01-01 01:00:00 CET;11.0365;8108656;8972400;940.48;33.74;8450800;9047408;940.51;34.25;;
Thu 1970-01-01 01:00:00 CET;12.0367;8108912;8972784;940.57;33.76;8450800;9048048;940.56;34.27;;
Thu 1970-01-01 01:00:00 CET;13.0353;8108656;8973040;940.53;33.76;8450416;9048176;940.48;34.27;;
Thu 1970-01-01 01:00:00 CET;14.0353;8108656;8973424;940.56;33.78;8450544;9048688;940.55;34.29;;
Thu 1970-01-01 01:00:00 CET;15.0356;8108400;8973680;940.52;33.78;8450544;9049072;940.57;34.3;;
Thu 1970-01-01 01:00:00 CET;16.0369;8108272;8973808;940.49;33.79;8450032;9049584;940.49;34.32;;
Thu 1970-01-01 01:00:00 CET;17.0371;8108272;8974064;940.51;33.8;8450160;9049968;940.55;34.33;;
Thu 1970-01-01 01:00:00 CET;18.037;8108144;8974448;940.51;33.81;8450032;9050352;940.54;34.34;;
Thu 1970-01-01 01:00:00 CET;19.0385;8108016;8974704;940.5;33.82;8449776;9050992;940.53;34.36;;
Thu 1970-01-01 01:00:00 CET;20.0369;8108016;8975344;940.54;33.84;8449904;9051376;940.59;34.37;;
Thu 1970-01-01 01:00:00 CET;21.0367;8108016;8975472;940.55;33.84;8449648;9051632;940.54;34.38;;
Thu 1970-01-01 01:00:00 CET;22.0371;8107888;8975600;940.53;33.85;8449392;9052272;940.53;34.4;;
Thu 1970-01-01 01:00:00 CET;23.0368;8107760;8975856;940.52;33.85;8449264;9052784;940.54;34.42;;
Thu 1970-01-01 01:00:00 CET;24.0369;8107504;8976240;940.49;33.87;8449136;9053040;940.52;34.43;;
Thu 1970-01-01 01:00:00 CET;25.0366;8107504;8976752;940.52;33.88;8448880;9053552;940.5;34.44;;
Thu 1970-01-01 01:00:00 CET;26.0374;8107376;8976880;940.5;33.89;8449008;9054064;940.57;34.46;;
Thu 1970-01-01 01:00:00 CET;27.0363;8107376;8977136;940.52;33.9;8448624;9054320;940.49;34.47;;
Thu 1970-01-01 01:00:00 CET;28.0378;8106992;8977520;940.46;33.91;8448624;9054832;940.53;34.48;;
Thu 1970-01-01 01:00:00 CET;29.0369;8106992;8977648;940.46;33.91;8448624;9055216;940.56;34.5;;
Thu 1970-01-01 01:00:00 CET;30.037;8107120;8978032;940.52;33.92;8448240;9055728;940.5;34.51;;
Thu 1970-01-01 01:00:00 CET;31.0373;8106992;8978544;940.53;33.94;8448112;9055984;940.49;34.52;;
Thu 1970-01-01 01:00:00 CET;32.0366;8106608;8978544;940.44;33.94;8447984;9056752;940.52;34.55;;
Thu 1970-01-01 01:00:00 CET;33.0369;8106736;8978928;940.5;33.95;8447600;9057008;940.44;34.55;;
Thu 1970-01-01 01:00:00 CET;34.0369;8106736;8979312;940.52;33.97;8447600;9057648;940.49;34.57;;
Thu 1970-01-01 01:00:00 CET;35.0368;8106608;8979440;940.5;33.97;8447600;9058032;940.52;34.59;;
Thu 1970-01-01 01:00:00 CET;36.0367;8106480;8979696;940.49;33.98;8447728;9058544;940.58;34.6;;
Thu 1970-01-01 01:00:00 CET;37.0381;8106224;8980208;940.47;34;8447344;9058928;940.52;34.61;;
Thu 1970-01-01 01:00:00 CET;38.0359;8106096;8980592;940.46;34.01;8447344;9059184;940.54;34.62;;
Thu 1970-01-01 01:00:00 CET;39.0366;8106224;8980848;940.51;34.02;8447216;9059696;940.54;34.64;;
Thu 1970-01-01 01:00:00 CET;40.0362;8105968;8980976;940.46;34.02;8446832;9060208;940.49;34.66;;
Thu 1970-01-01 01:00:00 CET;41.0367;8105968;8981104;940.47;34.02;8446576;9060592;940.46;34.67;;
Thu 1970-01-01 01:00:00 CET;42.0368;8105584;8981616;940.41;34.04;8446704;9060848;940.51;34.68;;
Thu 1970-01-01 01:00:00 CET;43.0365;8105840;8981872;940.49;34.05;8446576;9061616;940.53;34.7;;
Thu 1970-01-01 01:00:00 CET;44.0365;8105712;8982256;940.49;34.06;8446448;9061872;940.52;34.71;;
Thu 1970-01-01 01:00:00 CET;45.0367;8105456;8982512;940.45;34.07;8445808;9062384;940.4;34.73;;
Thu 1970-01-01 01:00:00 CET;46.0378;8105328;8982768;940.44;34.08;8446064;9062768;940.49;34.74;;
Thu 1970-01-01 01:00:00 CET;47.0368;8105328;8983152;940.46;34.09;8446192;9063152;940.55;34.75;;
Thu 1970-01-01 01:00:00 CET;48.0367;8105072;8983664;940.44;34.11;8445936;9063536;940.52;34.76;;
Thu 1970-01-01 01:00:00 CET;49.0368;8105072;8983792;940.45;34.11;8445808;9064048;940.52;34.78;;
Thu 1970-01-01 01:00:00 CET;50.0369;8105200;8983920;940.49;34.11;8445680;9064432;940.52;34.79;;
Thu 1970-01-01 01:00:00 CET;51.0362;8105072;8984560;940.51;34.14;8445552;9064944;940.53;34.81;;
Thu 1970-01-01 01:00:00 CET;52.0347;8105200;8984688;940.55;34.14;8445424;9065328;940.52;34.82;;
Thu 1970-01-01 01:00:00 CET;53.0365;8104816;8984944;940.47;34.15;8445424;9065712;940.55;34.83;;
Thu 1970-01-01 01:00:00 CET;54.0367;8104816;8985200;940.49;34.16;8445168;9066224;940.53;34.85;;
Thu 1970-01-01 01:00:00 CET;55.038;8104560;8985584;940.46;34.17;8445168;9066480;940.54;34.86;;
Thu 1970-01-01 01:00:00 CET;56.037;8104816;8985968;940.55;34.18;8444784;9067120;940.5;34.88;;
Thu 1970-01-01 01:00:00 CET;57.0373;8104560;8986096;940.49;34.19;8445040;9067504;940.59;34.89;;
Thu 1970-01-01 01:00:00 CET;58.0368;8104304;8986608;940.47;34.2;8444784;9068016;940.56;34.9;;
Thu 1970-01-01 01:00:00 CET;59.0381;8104432;8986736;940.51;34.21;8444784;9068272;940.58;34.91;;
Thu 1970-01-01 01:00:00 CET;60.0373;8104304;8987120;940.51;34.22;8444656;9068912;940.6;34.93;;
Thu 1970-01-01 01:00:00 CET;61.0374;8104560;8987376;940.59;34.23;8444528;9069168;940.59;34.94;;
Thu 1970-01-01 01:00:00 CET;62.0371;8104432;8987760;940.59;34.24;8444400;9069680;940.59;34.96;;
Thu 1970-01-01 01:00:00 CET;63.0366;8104432;8988144;940.61;34.25;8443888;9070064;940.5;34.97;;
Thu 1970-01-01 01:00:00 CET;64.037;8104304;8988400;940.6;34.26;8444016;9070320;940.55;34.98;;
Thu 1970-01-01 01:00:00 CET;65.0359;8104048;8988784;940.57;34.27;8444144;9070960;940.62;35;;
Thu 1970-01-01 01:00:00 CET;66.0368;8104176;8988656;940.59;34.27;8443888;9071216;940.58;35.01;;
