HTL state,Time GPS,Mission time,MGT-X raw,MGT-Y raw,MGT-Z raw,MGT-X mgauss,MGT-Y mgauss,MGT-Z mgauss,ACC-X raw,ACC-Y raw,ACC-Z raw,ACC-X mg,ACC-Y mg,ACC-Z mg,GYRO-X raw,GYRO-Y raw,GYRO-Z raw,GYRO-X mdps,GYRO-Y mdps,GYRO-Z mdps,Temp raw,Temp Celsius
A1,Thu 1970-01-01 01:00:00 CET,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0.000000
A1,Thu 1970-01-01 01:00:00 CET,0.0449418,-2462,1301,-500,-344.679993,182.139999,-70.000000,-12,-43,1354,-8.784000,-31.476000,991.127991,79,-45,39,5530.000000,-3150.000000,2730.000000,31,26.892090
A1,Thu 1970-01-01 01:00:00 CET,1.04095,-2452,1340,-429,-343.279999,187.600006,-60.060001,-12,-44,1356,-8.784000,-32.208000,992.591980,77,-45,38,5390.000000,-3150.000000,2660.000000,30,26.831055
A1,Thu 1970-01-01 01:00:00 CET,2.04341,-2460,1325,-485,-344.399994,185.500000,-67.900002,-6,-45,1354,-4.392000,-32.939999,991.127991,76,-46,40,5320.000000,-3220.000000,2800.000000,32,26.953125
A1,Thu 1970-01-01 01:00:00 CET,3.04344,-2450,1335,-441,-343.000000,186.899994,-61.740002,-12,-43,1357,-8.784000,-31.476000,993.323975,81,-45,39,5670.000000,-3150.000000,2730.000000,29,26.770020
A1,Thu 1970-01-01 01:00:00 CET,4.04433,-2461,1320,-519,-344.540009,184.800003,-72.660004,-4,-45,1357,-2.928000,-32.939999,993.323975,78,-45,42,5460.000000,-3150.000000,2940.000000,33,27.014160
A1,Thu 1970-01-01 01:00:00 CET,5.04349,-2448,1338,-494,-342.720001,187.320007,-69.160004,-10,-43,1356,-7.320000,-31.476000,992.591980,74,-42,43,5180.000000,-2940.000000,3010.000000,29,26.770020
A1,Thu 1970-01-01 01:00:00 CET,6.0438,-2463,1342,-504,-344.820007,187.880005,-70.559998,-9,-47,1355,-6.588000,-34.403999,991.859985,73,-42,40,5110.000000,-2940.000000,2800.000000,31,26.892090
A1,Thu 1970-01-01 01:00:00 CET,7.04375,-2422,1356,-446,-339.079987,189.839996,-62.439999,-6,-42,1354,-4.392000,-30.743999,991.127991,74,-44,45,5180.000000,-3080.000000,3150.000000,29,26.770020
A1,Thu 1970-01-01 01:00:00 CET,8.0428,-2467,1319,-505,-345.380005,184.660004,-70.699997,-6,-41,1360,-4.392000,-30.011999,995.520020,72,-44,41,5040.000000,-3080.000000,2870.000000,32,26.953125
A1,Thu 1970-01-01 01:00:00 CET,9.04394,-2435,1309,-507,-340.899994,183.259995,-70.980003,-9,-43,1356,-6.588000,-31.476000,992.591980,76,-39,42,5320.000000,-2730.000000,2940.000000,34,27.075195
A1,Thu 1970-01-01 01:00:00 CET,10.0441,-2449,1342,-434,-342.860016,187.880005,-60.760002,-11,-40,1356,-8.052000,-29.279999,992.591980,74,-44,41,5180.000000,-3080.000000,2870.000000,33,27.014160
A1,Thu 1970-01-01 01:00:00 CET,11.0434,-2435,1337,-494,-340.899994,187.180008,-69.160004,-11,-43,1354,-8.052000,-31.476000,991.127991,73,-43,43,5110.000000,-3010.000000,3010.000000,31,26.892090
A1,Thu 1970-01-01 01:00:00 CET,12.043,-2452,1326,-399,-343.279999,185.639999,-55.860001,-6,-43,1362,-4.392000,-31.476000,996.984009,77,-45,43,5390.000000,-3150.000000,3010.000000,31,26.892090
A1,Thu 1970-01-01 01:00:00 CET,13.0412,-2451,1337,-508,-343.140015,187.180008,-71.120003,-11,-44,1352,-8.052000,-32.208000,989.664001,83,-43,43,5810.000000,-3010.000000,3010.000000,30,26.831055
A1,Thu 1970-01-01 01:00:00 CET,14.0413,-2408,1346,-523,-337.119995,188.440002,-73.220001,-10,-46,1356,-7.320000,-33.672001,992.591980,78,-43,45,5460.000000,-3010.000000,3150.000000,36,27.197266
A1,Thu 1970-01-01 01:00:00 CET,15.0421,-2398,1322,-409,-335.720001,185.080002,-57.260002,-7,-42,1358,-5.124000,-30.743999,994.055969,77,-44,40,5390.000000,-3080.000000,2800.000000,31,26.892090
A1,Thu 1970-01-01 01:00:00 CET,16.0435,-2413,1331,-380,-337.820007,186.339996,-53.200001,-10,-47,1356,-7.320000,-34.403999,992.591980,77,-41,42,5390.000000,-2870.000000,2940.000000,31,26.892090
A1,Thu 1970-01-01 01:00:00 CET,17.0438,-2427,1335,-409,-339.779999,186.899994,-57.260002,-11,-43,1357,-8.052000,-31.476000,993.323975,74,-42,43,5180.000000,-2940.000000,3010.000000,33,27.014160
A1,Thu 1970-01-01 01:00:00 CET,18.044,-2481,1302,-527,-347.339996,182.279999,-73.779999,-12,-41,1356,-8.784000,-30.011999,992.591980,77,-45,43,5390.000000,-3150.000000,3010.000000,34,27.075195
A1,Thu 1970-01-01 01:00:00 CET,19.0453,-2471,1365,-519,-345.940002,191.100006,-72.660004,-9,-47,1358,-6.588000,-34.403999,994.055969,81,-45,41,5670.000000,-3150.000000,2870.000000,30,26.831055
A1,Thu 1970-01-01 01:00:00 CET,20.0436,-2420,1326,-478,-338.799988,185.639999,-66.919998,-9,-44,1355,-6.588000,-32.208000,991.859985,79,-45,42,5530.000000,-3150.000000,2940.000000,32,26.953125
A1,Thu 1970-01-01 01:00:00 CET,21.0432,-2446,1331,-505,-342.440002,186.339996,-70.699997,-5,-43,1358,-3.660000,-31.476000,994.055969,75,-44,42,5250.000000,-3080.000000,2940.000000,31,26.892090
